operationId,operationDate,operationType,note,totalAmtAccepted,propositions
RP 110725 2,2025-11-07,Reverse Repo,,4903000000,
RP 110625 2,2025-11-06,Reverse Repo,,10754000000,
RP 110525 2,2025-11-05,Reverse Repo,,12700000000,
RP 110525 26,2025-11-05,Reverse Repo,"<p>This operation is a Small Value Exercise (SVE); the daily ON RRP operation will still take place at its regularly scheduled time, 12:45pm ET.</p>",114000000,
RP 110425 2,2025-11-04,Reverse Repo,,16983000000,
RP 110325 2,2025-11-03,Reverse Repo,,23792000000,
RP 103125 2,2025-10-31,Reverse Repo,,51802000000,
RP 103025 2,2025-10-30,Reverse Repo,,19166000000,
RP 102925 2,2025-10-29,Reverse Repo,,19504000000,
RP 102825 2,2025-10-28,Reverse Repo,,14096000000,
RP 102725 2,2025-10-27,Reverse Repo,,10642000000,
RP 102425 2,2025-10-24,Reverse Repo,,2435000000,
RP 102325 2,2025-10-23,Reverse Repo,,6941000000,
RP 102225 3,2025-10-22,Reverse Repo,,4005000000,
RP 102125 2,2025-10-21,Reverse Repo,,4699000000,
RP 102025 2,2025-10-20,Reverse Repo,,5931000000,
RP 101725 2,2025-10-17,Reverse Repo,,4102000000,
RP 101625 2,2025-10-16,Reverse Repo,,6960000000,
RP 101525 4,2025-10-15,Reverse Repo,,5484000000,
RP 101425 2,2025-10-14,Reverse Repo,,3516000000,
RP 101025 2,2025-10-10,Reverse Repo,,4124000000,
RP 100925 2,2025-10-09,Reverse Repo,,4496000000,
RP 100825 2,2025-10-08,Reverse Repo,,5231000000,
RP 100725 2,2025-10-07,Reverse Repo,,4622000000,
RP 100625 2,2025-10-06,Reverse Repo,,21776000000,
RP 100325 2,2025-10-03,Reverse Repo,,25392000000,
RP 100225 2,2025-10-02,Reverse Repo,,8436000000,
RP 100125 2,2025-10-01,Reverse Repo,,10179000000,
RP 093025 2,2025-09-30,Reverse Repo,,49071000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 27025000000}, {'counterpartyType': 'mmf', 'amtAccepted': 22046000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 092925 2,2025-09-29,Reverse Repo,,56220000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3135000000}, {'counterpartyType': 'mmf', 'amtAccepted': 53085000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 092625 2,2025-09-26,Reverse Repo,,48073000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3870000000}, {'counterpartyType': 'mmf', 'amtAccepted': 44203000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 092525 2,2025-09-25,Reverse Repo,,25369000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 4610000000}, {'counterpartyType': 'mmf', 'amtAccepted': 20759000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
RP 092425 2,2025-09-24,Reverse Repo,,29172000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 3735000000}, {'counterpartyType': 'mmf', 'amtAccepted': 25437000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]"
